ANO;MES;PERFIL_CARGA;TIPO_MERCADORIA;MOVIMENTACAO;NAVEGACAO;TIPO_INSTALACAO;TOTAL_TONELADAS;TOTAL_TEU;TOTAL_UNIDADE
2020;1;CONTEINER;PAPEL E CELULOSE;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;2.250.500;1125250;2203
2020;1;CONTEINER;PAPEL E CELULOSE;;EXPORTACAO/LONGO CURSO;TUP;141.000;70500;138
2020;1;CONTEINER;PELLETS;;EXPORTACAO/LONGO CURSO;TUP;668.879;0;0
2020;1;CONTEINER;SODA CAUSTICA;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;15.999;0;0
2020;1;CONTEINER;SOJA;;EXPORTACAO/LONGO CURSO;TUP;4.038.868;0;0
2020;1;CONTEINER;SOJA A GRANEL;;EXPORTACAO/LONGO CURSO;TUP;3.377.207;0;0
2020;1;CONTEINER;SUCO A GRANEL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;54.453;0;0
2020;1;CONTEINER;SUCO CITRICO A GRANEL;;EXPORTACAO/LONGO CURSO;PORTO ORGANIZADO;46.828;0;0
2020;1;CONTEINER;VEICULOS;;EXPORTACAO/LONGO CURSO;TUP;17.325;7090;107
2020;1;CONTEINER;;;EXPORTACAO/CABOTAGEM;PORTO ORGANIZADO;84.762;0;0
2020;1;CONTEINER;;;EXPORTACAO/LONGO CURSO;TUP;235.864;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CITRUSTERPENO E VAM;;IMPORT/EXPORT/LONGO CURSO;PORTO ORGANIZADO;714.198;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTAINER;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTAINER;;IMPORT/EXPORT/CABOTAGEM;TUP;274;28;14
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTAINER;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTAINERS;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTAINERS;;IMPORT/EXPORT/LONGO CURSO;TUP;153;14;7
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINER;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINER;;IMPORT/EXPORT/CABOTAGEM;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINER;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINERES;;EXPORTACAO/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINERES;;IMPORT/EXPORT/CABOTAGEM;TUP;547;41;27
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINERES;;IMPORT/EXPORT/LONGO CURSO;TUP;4.465;380;228
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINERS;;IMPORT/EXPORT/LONGO CURSO;TUP;0;0;0
2020;1;GRANEIS DE ORIGEM VEGETAL;CONTEINRERES;;IMPORT/EXPORT/LONGO CURSO;TUP;727;42;42
